225 225
22807219 22.907755 18.792827 1.507392
24007199 23.027862 20.782559 1.510506
25207151 23.165558 22.889098 1.505523
26407131 23.319063 25.109942 1.501786
27609632 23.486730 27.315848 1.494934
28808632 23.661425 29.595432 1.494311
30007139 23.851620 31.942868 1.489951
31206983 24.038886 34.309098 1.491820
32406955 24.209057 36.644159 1.498048
33606926 24.352972 38.824962 1.504900
34807327 24.503213 40.979068 1.501163
36007868 24.670392 43.215416 1.496180
37206830 24.843240 45.527607 1.496180
38407350 25.032512 47.900378 1.491197
39606760 25.222562 50.264324 1.490574
40806728 25.397594 52.605724 1.496180
42007757 25.622415 54.945451 1.475002
43207031 25.816232 57.283310 1.488082
44406670 25.988230 59.509499 1.493688
45606645 26.137820 61.562159 1.498048
46806571 26.239667 63.511744 1.518604
48006574 26.063756 65.361602 1.665606
49208088 25.308246 66.889575 2.029996
50406544 24.035189 68.009896 2.419924
51606463 22.316328 68.661321 2.779331
52806454 20.282815 68.911574 3.019144
54006376 18.142719 69.063237 3.070844
55206381 16.125307 69.193582 3.077072
56407840 14.239026 69.313095 3.078318
57606520 12.407708 69.438290 3.073335
58806280 10.477970 69.584713 3.065860
60006253 8.397300 69.786986 3.044682
61206342 6.227450 70.099416 2.998588
62406304 4.039869 70.569164 2.930071
63608064 1.917040 71.209864 2.848472
64806946 -0.157454 71.981327 2.785560
66006249 -2.240161 72.897909 2.727009
67206513 -4.285295 73.925628 2.675932
68406299 -6.100255 74.994683 2.609283
69606092 -7.717992 76.199335 2.501523
70808365 -9.184554 77.777237 2.319639
72006406 -10.146655 79.444575 2.094153
73207818 -10.587110 80.755958 1.894829
74406094 -10.848006 82.107181 1.761531
75605945 -11.042222 83.830113 1.683047
76805921 -11.123071 85.882514 1.610169
78005903 -11.103282 87.894270 1.560960
79206232 -11.040196 89.887654 1.539159
80406796 -10.937313 91.767196 1.516112
81605786 -10.805668 93.457379 1.493065
82805769 -10.668502 95.137327 1.489328
84006175 -10.563172 96.864364 1.509883
85205680 -10.501248 98.860355 1.539782
86406054 -10.470266 101.142815 1.557223
87607335 -10.428726 103.728344 1.554731
88805591 -10.371620 106.441048 1.549748
90005552 -10.305548 109.106257 1.546011
91205527 -10.230057 111.695644 1.541651
92406112 -10.138491 114.238233 1.534799
93605884 -10.040804 116.620651 1.529816
94806464 -9.951101 118.988470 1.532930
96005405 -9.854426 121.498986 1.532307
97205377 -9.765117 124.067879 1.536045
98405331 -9.708068 126.626383 1.548502
99605302 -9.673766 129.153430 1.557223
100805764 -9.626852 131.681302 1.552240
102006644 -9.582713 134.230810 1.553486
103205632 -9.523603 136.881790 1.548502
104405177 -9.452177 139.837300 1.546634
105605150 -9.369931 142.996099 1.544765
106805581 -9.332870 146.340248 1.559714
108005887 -9.384403 149.904686 1.585253
109206556 -9.538200 153.748028 1.610791
110405027 -9.740376 157.741442 1.621381
111604992 -9.864572 161.711305 1.602071
112804959 -9.836364 165.551968 1.563452
114006129 -9.761636 169.325189 1.550994
115205727 -9.666344 173.074814 1.545388
116406631 -9.548567 176.871101 1.539782
117604842 -9.427287 180.703268 1.539159
118804794 -9.289529 184.463400 1.534176
120004770 -9.168387 188.077569 1.537290
121204731 -8.995958 191.544053 1.521095
122404996 -8.809047 195.121971 1.518604
123605239 -8.662967 198.796419 1.531062
124807062 -8.564805 202.237011 1.542274
126004613 -8.464696 205.529997 1.540405
127204587 -8.375753 208.647488 1.542274
128404575 -8.300101 211.553029 1.544765
129604991 -8.350922 214.253522 1.589613
130805344 -8.645344 216.894970 1.681801
132004713 -9.356530 219.387525 1.848735
133204414 -10.626383 221.452275 2.122183
134404383 -12.256044 223.103778 2.349538
135604376 -14.211094 224.375005 2.565058
136804703 -16.457499 225.066766 2.842866
138005945 -18.640116 225.005003 3.169883
139204970 -20.690697 224.191365 3.519324
140404236 -22.405106 222.709277 3.854438
141604216 -23.551560 220.722921 4.188930
142804170 -24.230798 218.392831 4.428742
144004825 -24.631469 215.854846 4.555811
145204673 -24.905503 213.203972 4.609380
146405892 -25.081684 210.302791 4.651736
147604501 -25.288699 207.028697 4.649245
148804010 -25.453115 203.705880 4.662948
150003973 -25.621273 200.349805 4.662325
151203957 -25.787021 196.913350 4.664194
152405632 -25.915046 193.453170 4.675406
153605175 -25.978470 189.987092 4.694093
154804254 -25.900793 186.582985 4.735203
156003845 -25.870221 183.227465 4.721500
157203784 -25.912614 179.886977 4.699699
158403789 -26.011758 176.597560 4.682258
159603914 -26.115223 173.365347 4.680389
160805356 -26.229685 170.163842 4.676652
162003676 -26.373782 166.878660 4.668554
163203508 -26.525407 163.470358 4.667931
164403476 -26.678286 159.984954 4.668554
165603579 -26.750249 156.523668 4.691601
166805094 -26.375587 153.151243 4.823031
168004339 -25.448806 150.066968 5.004292
169203354 -24.126450 147.423396 5.176209
170403328 -22.609863 145.103810 5.291443
171603285 -21.014430 142.898974 5.338783
172803261 -19.471133 140.796669 5.345635
174004701 -18.019239 138.800691 5.341275
175204053 -16.710067 136.801062 5.292066
176403174 -15.524219 134.452367 5.179946
177603126 -14.437538 131.694669 5.087759
178803221 -13.526618 128.670019 5.004914
180003061 -12.789009 125.460200 4.938265
181203071 -12.258212 122.317605 4.879714
182405279 -11.928251 119.330584 4.822408
183604734 -11.764437 116.431766 4.768839
184803465 -11.653348 113.283619 4.747661
186002903 -11.546702 110.031457 4.745170
187203022 -11.427733 106.718529 4.748284
188404315 -11.356852 103.525016 4.734581
189604807 -11.408746 100.782396 4.693470
190803631 -11.555345 98.209443 4.655474
192003658 -11.696771 95.520924 4.659834
193203089 -11.804583 92.451849 4.677275
194487180 -11.876331 88.780852 4.692847
195603368 -11.911798 85.503495 4.701567
196805139 -11.910315 81.703840 4.712779
198003723 -11.941971 77.596491 4.704682
199202574 -11.854360 73.535186 4.733958
200402533 -11.574537 69.755124 4.786280
201602613 -11.097226 66.137906 4.843586
202803033 -10.558398 62.629130 4.864764
204002841 -10.103138 59.179018 4.843586
205203746 -9.709866 55.639070 4.823031
206402366 -9.410547 51.728033 4.788772
207602368 -9.282590 47.504821 4.742678
208802432 -9.195413 43.215807 4.732712
210002273 -9.168398 39.134633 4.719008
211202914 -9.127386 35.174858 4.722746
212402756 -8.968547 31.349722 4.753890
213602518 -8.769107 27.569714 4.765102
214802180 -8.545576 23.821426 4.771954
216002147 -8.285326 20.182661 4.783789
217202290 -7.964893 16.585331 4.801230
218403721 -7.604806 13.064581 4.814310
219603898 -7.233403 9.795730 4.825522
220802013 -6.715133 7.013112 4.896532
222001951 -5.558967 4.680023 5.172472
223201932 -3.684390 3.047712 5.566760
224401890 -1.393964 2.086063 5.885680
225603548 1.066723 1.671173 6.116149
226802706 3.849437 1.565104 6.245087
228001820 7.003683 1.509763 6.265642
229201792 10.309818 1.441456 6.262528
230401737 13.520514 1.459127 6.288689
231601735 16.611207 1.791208 6.390220
232802243 19.420281 2.689401 6.592659
234002622 21.792674 4.238846 6.861747
235203605 23.612593 6.234628 7.114640
236401569 24.887703 8.574782 7.355075
237601538 25.621794 11.379640 7.598002
238801507 25.971021 14.464822 7.741267
240003417 26.130931 17.755447 7.805424
241203134 26.270711 21.055731 7.811653
242402310 26.361825 24.170075 7.824734
243601385 26.487164 27.266257 7.813522
244801350 26.610021 30.255049 7.812899
246001483 26.741369 33.224962 7.809784
247201308 26.890722 36.259369 7.804801
248774361 27.107897 40.359551 7.801064
249603253 27.223195 42.616153 7.802933
250801108 27.397623 46.030054 7.802933
252001207 27.580651 49.612288 7.802933
253201135 27.770821 53.289350 7.802310
254401099 27.953109 56.813991 7.802310
255602151 28.097857 60.181958 7.811030
256802610 28.245118 63.333765 7.807293
258001010 28.342351 66.225809 7.820374
259201010 28.210159 68.504135 7.911938
260400982 27.491536 70.216084 8.251413
261600802 26.127225 71.472356 8.680583
262801710 24.244166 72.058867 9.122835
264001672 21.911042 71.940682 9.475390
265200823 19.604777 71.562030 9.587510
266400792 17.305105 71.416797 9.487848
267600778 14.989192 71.472702 9.400643
268800591 12.683502 71.620467 9.360778
